pathwayID,entity
R-HSA-140875,reactome:PhysicalEntity918
R-HSA-140875,reactome:SmallMolecule110
R-HSA-140875,reactome:Protein11703
R-HSA-140875,reactome:Protein11694
R-HSA-140875,reactome:Protein11695
R-HSA-140875,reactome:Protein11714
R-HSA-140875,reactome:Protein11715
R-HSA-140875,reactome:Protein11705
R-HSA-140875,reactome:PhysicalEntity916
R-HSA-140875,reactome:Protein11724
R-HSA-140875,reactome:Protein11725
R-HSA-140875,reactome:Protein11496
R-HSA-140875,reactome:Protein11669
R-HSA-140875,reactome:SmallMolecule3821
R-HSA-140875,reactome:Protein11717
R-HSA-140875,reactome:Protein11278
R-HSA-140875,reactome:Protein11713
R-HSA-140875,reactome:Protein11719
R-HSA-140875,reactome:Protein11701
R-HSA-140875,reactome:Protein11702
R-HSA-140875,reactome:Protein11672
R-HSA-140875,reactome:Protein11711
R-HSA-140875,reactome:Protein11706
R-HSA-140875,reactome:Protein11720
R-HSA-140875,reactome:Protein11710
R-HSA-140875,reactome:Protein11698
R-HSA-140875,reactome:SmallMolecule722
R-HSA-140875,reactome:PhysicalEntity917
R-HSA-9612973,reactome:SmallMolecule5180
R-HSA-9612973,reactome:Protein4497
R-HSA-9612973,reactome:PhysicalEntity2083
R-HSA-9612973,reactome:SmallMolecule535
R-HSA-9612973,reactome:Protein32396
R-HSA-9612973,reactome:Protein32364
R-HSA-9612973,reactome:PhysicalEntity2090
R-HSA-9612973,reactome:Protein32397
R-HSA-9612973,reactome:Protein32368
R-HSA-9612973,reactome:Protein32363
R-HSA-9612973,reactome:PhysicalEntity2089
R-HSA-9612973,reactome:PhysicalEntity2084
R-HSA-9612973,reactome:Protein32367
R-HSA-9612973,reactome:SmallMolecule5177
R-HSA-9612973,reactome:Protein32239
R-HSA-9612973,reactome:Protein32246
R-HSA-9612973,reactome:SmallMolecule2
R-HSA-9612973,reactome:SmallMolecule6
R-HSA-9612973,reactome:Protein32216
R-HSA-9612973,reactome:SmallMolecule4
R-HSA-9612973,reactome:Protein32226
R-HSA-9612973,reactome:Protein32260
R-HSA-9612973,reactome:Protein32259
R-HSA-9612973,reactome:Protein32231
R-HSA-9612973,reactome:Protein32207
R-HSA-9612973,reactome:Protein8230
R-HSA-9612973,reactome:SmallMolecule1605
R-HSA-9612973,reactome:SmallMolecule1297
R-HSA-9612973,reactome:Protein32219
R-HSA-9612973,reactome:Protein32229
R-HSA-9612973,reactome:Protein32230
R-HSA-9612973,reactome:Protein32220
R-HSA-9612973,reactome:SmallMolecule5175
R-HSA-9612973,reactome:Protein27375
R-HSA-9612973,reactome:Protein27376
R-HSA-9612973,reactome:Protein32313
R-HSA-9612973,reactome:Protein32318
R-HSA-9612973,reactome:Protein32317
R-HSA-9612973,reactome:Protein17262
R-HSA-9612973,reactome:Protein32314
R-HSA-9612973,reactome:Protein32315
R-HSA-9612973,reactome:Protein11155
R-HSA-9612973,reactome:Protein32316
R-HSA-9612973,reactome:Protein32309
R-HSA-9612973,reactome:Protein32277
R-HSA-9612973,reactome:Protein32285
R-HSA-9612973,reactome:Protein32293
R-HSA-9612973,reactome:PhysicalEntity2077
R-HSA-9612973,reactome:PhysicalEntity2076
R-HSA-9612973,reactome:Protein32273
R-HSA-9612973,reactome:Protein32274
R-HSA-9612973,reactome:Protein30296
R-HSA-9612973,reactome:Protein12442
R-HSA-9612973,reactome:Protein32302
R-HSA-9612973,reactome:Protein10189
R-HSA-9612973,reactome:Protein32275
R-HSA-9612973,reactome:Protein9541
R-HSA-9612973,reactome:Protein32217
R-HSA-9612973,reactome:Protein32294
R-HSA-9612973,reactome:Protein17224
R-HSA-9612973,reactome:Protein17261
R-HSA-9612973,reactome:Protein66
R-HSA-9612973,reactome:Protein56
R-HSA-9612973,reactome:PhysicalEntity2081
R-HSA-9612973,reactome:Protein32319
R-HSA-9612973,reactome:Protein32322
