pathwayID,entity
R-HSA-193648,reactome:SmallMolecule75
R-HSA-193648,reactome:SmallMolecule37
R-HSA-193648,reactome:PhysicalEntity1271
R-HSA-193648,reactome:Protein24961
R-HSA-193648,reactome:Protein4558
R-HSA-9702998,reactome:SmallMolecule1511
R-HSA-5654227,reactome:Protein12660
R-HSA-5654227,reactome:SmallMolecule12
R-HSA-5654227,reactome:SmallMolecule13
R-HSA-5654227,reactome:SmallMolecule247
R-HSA-5654227,reactome:Protein12659
R-HSA-111458,reactome:Protein13161
R-HSA-111458,reactome:Protein32209
R-HSA-111458,reactome:Protein30391
R-HSA-111458,reactome:Protein32208
R-HSA-111458,reactome:SmallMolecule13
R-HSA-111458,reactome:Protein24689
R-HSA-111458,reactome:SmallMolecule12
R-HSA-111458,reactome:Protein24387
R-HSA-111458,reactome:Protein2489
R-HSA-977443,reactome:Protein2052
R-HSA-977443,reactome:SmallMolecule130
R-HSA-977443,reactome:SmallMolecule132
R-HSA-977443,reactome:SmallMolecule34
R-HSA-977443,reactome:SmallMolecule99
R-HSA-977443,reactome:SmallMolecule101
R-HSA-977443,reactome:SmallMolecule142
R-HSA-3000484,reactome:Protein4302
R-HSA-3000484,reactome:PhysicalEntity377
R-HSA-1855167,reactome:SmallMolecule12
R-HSA-1855167,reactome:SmallMolecule3387
R-HSA-1855167,reactome:SmallMolecule3381
R-HSA-1855167,reactome:SmallMolecule13
R-HSA-1855167,reactome:Protein29238
R-HSA-1855167,reactome:SmallMolecule1148
R-HSA-1855167,reactome:SmallMolecule25
R-HSA-1855167,reactome:SmallMolecule34
R-HSA-1855167,reactome:SmallMolecule1147
R-HSA-1855167,reactome:SmallMolecule3380
R-HSA-1855167,reactome:SmallMolecule3388
R-HSA-1855167,reactome:SmallMolecule3392
R-HSA-1855167,reactome:SmallMolecule3385
R-HSA-1855167,reactome:SmallMolecule3384
R-HSA-1855167,reactome:SmallMolecule3393
R-HSA-1855167,reactome:Protein29245
R-HSA-1855167,reactome:SmallMolecule3389
R-HSA-1855167,reactome:SmallMolecule3391
R-HSA-1855167,reactome:Protein29237
R-HSA-1855167,reactome:SmallMolecule3395
R-HSA-9702569,reactome:SmallMolecule1510
R-HSA-425410,reactome:SmallMolecule15
R-HSA-425410,reactome:SmallMolecule581
R-HSA-425410,reactome:SmallMolecule100
R-HSA-425410,reactome:SmallMolecule1075
R-HSA-425410,reactome:Protein28045
R-HSA-425410,reactome:SmallMolecule48
R-HSA-425410,reactome:SmallMolecule1547
R-HSA-425410,reactome:SmallMolecule605
R-HSA-425410,reactome:SmallMolecule2630
R-HSA-425410,reactome:SmallMolecule16
R-HSA-425410,reactome:SmallMolecule1326
R-HSA-425410,reactome:Protein28037
R-HSA-425410,reactome:Protein28033
R-HSA-425410,reactome:Protein28032
R-HSA-425410,reactome:Protein28039
R-HSA-425410,reactome:SmallMolecule1055
R-HSA-425410,reactome:Protein28036
R-HSA-425410,reactome:Protein28027
R-HSA-425410,reactome:SmallMolecule1753
R-HSA-425410,reactome:SmallMolecule102
R-HSA-425410,reactome:SmallMolecule2167
R-HSA-425410,reactome:Protein28023
R-HSA-425410,reactome:SmallMolecule936
R-HSA-425410,reactome:Protein7984
R-HSA-425410,reactome:SmallMolecule2687
R-HSA-425410,reactome:Protein28024
R-HSA-425410,reactome:SmallMolecule603
R-HSA-425410,reactome:SmallMolecule904
R-HSA-425410,reactome:SmallMolecule941
R-HSA-425410,reactome:Protein7985
R-HSA-425410,reactome:SmallMolecule127
R-HSA-425410,reactome:Protein28022
R-HSA-425410,reactome:SmallMolecule117
R-HSA-425410,reactome:SmallMolecule119
R-HSA-425410,reactome:Protein28003
R-HSA-425410,reactome:SmallMolecule1607
R-HSA-425410,reactome:SmallMolecule2682
R-HSA-425410,reactome:Protein28009
R-HSA-425410,reactome:SmallMolecule1608
R-HSA-425410,reactome:SmallMolecule2684
R-HSA-425410,reactome:Protein28015
R-HSA-425410,reactome:SmallMolecule2683
R-HSA-425410,reactome:Protein28012
R-HSA-425410,reactome:SmallMolecule99
R-HSA-425410,reactome:SmallMolecule101
R-HSA-425410,reactome:Protein28016
R-HSA-425410,reactome:SmallMolecule935
R-HSA-425410,reactome:SmallMolecule1562
R-HSA-425410,reactome:Protein28020
R-HSA-425410,reactome:SmallMolecule2685
R-HSA-425410,reactome:SmallMolecule2686
R-HSA-425410,reactome:Protein28021
R-HSA-425410,reactome:Protein1860
R-HSA-425410,reactome:Protein2391
R-HSA-425410,reactome:Protein2387
R-HSA-425410,reactome:SmallMolecule606
R-HSA-425410,reactome:SmallMolecule466
R-HSA-425410,reactome:Protein28041
R-HSA-425410,reactome:SmallMolecule2585
R-HSA-425410,reactome:SmallMolecule2586
R-HSA-425410,reactome:SmallMolecule2587
R-HSA-425410,reactome:Protein26308
R-HSA-425410,reactome:Protein28040
R-HSA-425410,reactome:SmallMolecule241
R-HSA-425410,reactome:SmallMolecule24
R-HSA-425410,reactome:Protein28042
R-HSA-166665,reactome:Protein25837
R-HSA-166665,reactome:Protein25831
R-HSA-166665,reactome:Protein25830
R-HSA-73887,reactome:Protein24974
R-HSA-73887,reactome:Protein24975
R-HSA-73887,reactome:Protein22594
R-HSA-73887,reactome:Protein24987
R-HSA-73887,reactome:Protein24988
R-HSA-73887,reactome:Protein24983
R-HSA-73887,reactome:Protein24986
R-HSA-73887,reactome:Protein24985
R-HSA-73887,reactome:Protein6937
R-HSA-73887,reactome:Protein24960
R-HSA-73887,reactome:Protein24984
R-HSA-73887,reactome:PhysicalEntity1318
R-HSA-73887,reactome:Protein23377
R-HSA-73887,reactome:Protein24980
R-HSA-73887,reactome:Protein24979
R-HSA-73887,reactome:SmallMolecule12
R-HSA-73887,reactome:Protein13154
R-HSA-73887,reactome:Protein24963
R-HSA-73887,reactome:Protein24965
R-HSA-73887,reactome:Protein24964
R-HSA-73887,reactome:SmallMolecule13
R-HSA-73887,reactome:Protein4552
R-HSA-73887,reactome:Protein4548
R-HSA-73887,reactome:Protein24962
R-HSA-73887,reactome:SmallMolecule75
R-HSA-73887,reactome:SmallMolecule37
R-HSA-73887,reactome:PhysicalEntity1271
R-HSA-73887,reactome:Protein24961
R-HSA-73887,reactome:Protein4558
R-HSA-73887,reactome:Protein24968
R-HSA-73887,reactome:Protein24969
R-HSA-73887,reactome:Protein4730
R-HSA-73887,reactome:Protein24817
R-HSA-73887,reactome:Protein24978
R-HSA-73887,reactome:Protein182
R-HSA-73887,reactome:Protein313
R-HSA-73887,reactome:PhysicalEntity1317
R-HSA-73887,reactome:Protein7105
R-HSA-73887,reactome:SmallMolecule25
R-HSA-73887,reactome:SmallMolecule2491
R-HSA-73887,reactome:SmallMolecule2493
R-HSA-73887,reactome:SmallMolecule2492
R-HSA-73887,reactome:Protein24931
R-HSA-73887,reactome:SmallMolecule250
R-HSA-73887,reactome:Protein11730
R-HSA-73887,reactome:Protein24957
R-HSA-73887,reactome:Protein15441
R-HSA-73887,reactome:Protein15432
R-HSA-73887,reactome:Protein24958
R-HSA-73887,reactome:Protein24906
R-HSA-73887,reactome:Protein11729
R-HSA-73887,reactome:Protein24920
R-HSA-73887,reactome:Protein241
R-HSA-73887,reactome:PhysicalEntity560
R-HSA-73887,reactome:Protein24916
R-HSA-73887,reactome:Protein24917
R-HSA-73887,reactome:PhysicalEntity1316
R-HSA-73887,reactome:Protein6935
R-HSA-73887,reactome:Protein6936
R-HSA-73887,reactome:Protein15431
R-HSA-73887,reactome:Protein4468
R-HSA-73887,reactome:Protein6928
R-HSA-73887,reactome:Protein24944
R-HSA-73887,reactome:Protein7246
R-HSA-73887,reactome:Protein15442
R-HSA-73887,reactome:Protein13316
R-HSA-73887,reactome:PhysicalEntity507
R-HSA-73887,reactome:Protein1535
R-HSA-73887,reactome:Protein24954
R-HSA-73887,reactome:Protein24951
R-HSA-73887,reactome:Protein20099
R-HSA-73887,reactome:Protein7204
R-HSA-73887,reactome:Protein779
R-HSA-73887,reactome:Protein24938
R-HSA-73887,reactome:Protein1537
R-HSA-73887,reactome:Protein24953
R-HSA-73887,reactome:Protein24945
R-HSA-73887,reactome:Protein24948
R-HSA-73887,reactome:Protein24942
R-HSA-73887,reactome:Protein15445
R-HSA-73887,reactome:Protein24950
R-HSA-73887,reactome:Protein24934
R-HSA-73887,reactome:Protein24933
R-HSA-73887,reactome:Protein24935
R-HSA-73887,reactome:Protein10928
R-HSA-73887,reactome:Protein24952
R-HSA-73887,reactome:Protein24924
R-HSA-73887,reactome:Protein10803
R-HSA-73887,reactome:Protein24941
R-HSA-73887,reactome:Protein24940
R-HSA-73887,reactome:Protein24929
R-HSA-73887,reactome:Protein24930
R-HSA-73887,reactome:Protein15497
R-HSA-73887,reactome:Protein24905
R-HSA-1234176,reactome:Protein4354
R-HSA-1234176,reactome:SmallMolecule471
R-HSA-1234176,reactome:SmallMolecule470
R-HSA-1234176,reactome:SmallMolecule472
R-HSA-1234176,reactome:SmallMolecule473
R-HSA-1234176,reactome:Protein4355
R-HSA-1234176,reactome:Protein4356
R-HSA-1234176,reactome:Protein4357
R-HSA-1234176,reactome:SmallMolecule467
R-HSA-1234176,reactome:Protein4329
R-HSA-1234176,reactome:SmallMolecule109
R-HSA-1234176,reactome:Protein4335
R-HSA-1234176,reactome:SmallMolecule139
R-HSA-1234176,reactome:SmallMolecule468
R-HSA-1234176,reactome:Protein4359
R-HSA-1234176,reactome:Protein4330
R-HSA-1234176,reactome:Protein4347
R-HSA-1234176,reactome:Protein4348
R-HSA-1234176,reactome:Protein4349
R-HSA-1234176,reactome:Protein4350
R-HSA-1234176,reactome:Protein4351
R-HSA-1234176,reactome:Protein182
R-HSA-1234176,reactome:Protein4358
R-HSA-1234176,reactome:Protein1540
R-HSA-1234176,reactome:Protein4365
R-HSA-5358346,reactome:Protein23939
R-HSA-5358346,reactome:Protein23935
R-HSA-5358346,reactome:Protein23944
R-HSA-5358346,reactome:Protein10523
R-HSA-5358346,reactome:Protein23943
R-HSA-5358346,reactome:Protein23941
R-HSA-5358346,reactome:Protein23940
R-HSA-5358346,reactome:SmallMolecule12
R-HSA-5358346,reactome:SmallMolecule25
R-HSA-5358346,reactome:Protein13719
R-HSA-5358346,reactome:Protein23952
R-HSA-5358346,reactome:SmallMolecule1485
R-HSA-5358346,reactome:SmallMolecule13
R-HSA-5358346,reactome:Protein23930
R-HSA-5358346,reactome:Protein182
R-HSA-5358346,reactome:Protein23918
R-HSA-5358346,reactome:Protein23922
R-HSA-5358346,reactome:SmallMolecule1484
R-HSA-5358346,reactome:Protein4912
R-HSA-5358346,reactome:Protein13751
R-HSA-5358346,reactome:Protein23926
R-HSA-5358346,reactome:SmallMolecule2428
R-HSA-5358346,reactome:SmallMolecule1051
R-HSA-5358346,reactome:Protein23934
R-HSA-5669034,reactome:Protein27920
R-HSA-5669034,reactome:Protein27921
R-HSA-5669034,reactome:Protein27937
R-HSA-5669034,reactome:Protein27938
R-HSA-5669034,reactome:Protein27930
R-HSA-5669034,reactome:Protein27929
R-HSA-5669034,reactome:Protein27928
R-HSA-5669034,reactome:Protein27919
R-HSA-5669034,reactome:Protein27939
R-HSA-5669034,reactome:Protein27916
R-HSA-5669034,reactome:Protein27934
R-HSA-5669034,reactome:Protein27923
R-HSA-5669034,reactome:Protein27924
R-HSA-5669034,reactome:Protein27927
R-HSA-5669034,reactome:Protein27918
R-HSA-5669034,reactome:Protein27917
R-HSA-5669034,reactome:Protein27922
R-HSA-5669034,reactome:Protein27936
R-HSA-5669034,reactome:Protein27925
R-HSA-2408499,reactome:SmallMolecule25
R-HSA-2408499,reactome:SmallMolecule4931
R-HSA-2408499,reactome:SmallMolecule4932
R-HSA-2408499,reactome:SmallMolecule4913
R-HSA-2408499,reactome:PhysicalEntity1661
R-HSA-2408499,reactome:SmallMolecule4930
R-HSA-2408499,reactome:SmallMolecule40
R-HSA-2408499,reactome:SmallMolecule622
R-HSA-2408499,reactome:SmallMolecule47
R-HSA-2408499,reactome:PhysicalEntity1660
R-HSA-2408499,reactome:SmallMolecule4928
R-HSA-2408499,reactome:SmallMolecule4929
R-HSA-2408499,reactome:PhysicalEntity1659
R-HSA-2408499,reactome:SmallMolecule4933
R-HSA-2408499,reactome:SmallMolecule4924
R-HSA-2408499,reactome:PhysicalEntity1662
R-HSA-209931,reactome:SmallMolecule114
R-HSA-209931,reactome:SmallMolecule133
R-HSA-209931,reactome:SmallMolecule5030
R-HSA-209931,reactome:SmallMolecule135
R-HSA-209931,reactome:Protein30484
R-HSA-209931,reactome:SmallMolecule40
R-HSA-209931,reactome:SmallMolecule102
R-HSA-209931,reactome:SmallMolecule5031
R-HSA-209931,reactome:SmallMolecule47
R-HSA-209931,reactome:Protein30485
R-HSA-209931,reactome:SmallMolecule5029
R-HSA-209931,reactome:SmallMolecule139
R-HSA-209931,reactome:SmallMolecule109
R-HSA-209931,reactome:SmallMolecule642
R-HSA-209931,reactome:SmallMolecule658
R-HSA-209931,reactome:SmallMolecule4856
R-HSA-8852405,reactome:Protein22580
R-HSA-8852405,reactome:SmallMolecule175
R-HSA-8852405,reactome:Protein22551
R-HSA-8852405,reactome:SmallMolecule12
R-HSA-8852405,reactome:SmallMolecule13
R-HSA-9673221,reactome:Protein21593
R-HSA-9673221,reactome:SmallMolecule15
R-HSA-629587,reactome:SmallMolecule138
R-HSA-629587,reactome:SmallMolecule117
R-HSA-629587,reactome:SmallMolecule119
R-HSA-1980143,reactome:Protein23471
R-HSA-1980143,reactome:Protein13333
R-HSA-1980143,reactome:Protein13293
R-HSA-1980143,reactome:Protein23466
R-HSA-1980143,reactome:Protein13296
R-HSA-1980143,reactome:Protein182
R-HSA-1980143,reactome:Protein13314
R-HSA-1980143,reactome:Protein20108
R-HSA-1980143,reactome:Protein3680
R-HSA-1980143,reactome:Protein23470
R-HSA-1980143,reactome:Protein23465
R-HSA-1980143,reactome:Protein13339
R-HSA-1980143,reactome:Protein13289
R-HSA-1980143,reactome:Protein23472
R-HSA-1980143,reactome:PhysicalEntity1272
