pathwayID,entityRef
R-HSA-9027276,reactome:SmallMoleculeReference4
R-HSA-9027276,reactome:SmallMoleculeReference156
R-HSA-9027276,reactome:SmallMoleculeReference157
R-HSA-9027276,reactome:SmallMoleculeReference5
R-HSA-9027276,
R-HSA-9027276,reactome:ProteinReference2677
R-HSA-9027276,reactome:ProteinReference4972
R-HSA-9027276,reactome:ProteinReference5257
R-HSA-9027276,reactome:ProteinReference8422
R-HSA-9027276,reactome:ProteinReference5920
R-HSA-9027276,reactome:ProteinReference5856
R-HSA-8964043,reactome:ProteinReference9621
R-HSA-8964043,reactome:ProteinReference4380
R-HSA-8964043,reactome:ProteinReference2263
R-HSA-8964043,reactome:ProteinReference2264
R-HSA-8964043,reactome:ProteinReference2293
R-HSA-8964043,reactome:ProteinReference2287
R-HSA-8964043,reactome:ProteinReference2292
R-HSA-8964043,
R-HSA-8964043,reactome:ProteinReference8007
R-HSA-8964043,reactome:ProteinReference2304
R-HSA-8964043,reactome:ProteinReference2305
R-HSA-8964043,reactome:SmallMoleculeReference258
R-HSA-8964043,reactome:SmallMoleculeReference257
R-HSA-8964043,reactome:SmallMoleculeReference255
R-HSA-8964043,reactome:SmallMoleculeReference256
R-HSA-8964043,reactome:ProteinReference8933
R-HSA-8964043,reactome:ProteinReference9625
R-HSA-8964043,reactome:SmallMoleculeReference8
R-HSA-8964043,reactome:SmallMoleculeReference249
R-HSA-8964043,reactome:ProteinReference9624
R-HSA-8964043,reactome:SmallMoleculeReference433
R-HSA-8964043,reactome:ProteinReference9629
R-HSA-8964043,reactome:SmallMoleculeReference1750
R-HSA-8964043,reactome:SmallMoleculeReference29
R-HSA-8964043,reactome:ProteinReference9623
R-HSA-8964043,reactome:ProteinReference2306
R-HSA-8964043,reactome:ProteinReference9628
R-HSA-8964043,reactome:ProteinReference2632
R-HSA-8964043,reactome:ProteinReference2522
R-HSA-8964043,reactome:ProteinReference6214
R-HSA-8964043,reactome:ProteinReference6215
R-HSA-8964043,reactome:ProteinReference9632
R-HSA-8964043,reactome:ProteinReference9622
R-HSA-8964043,reactome:ProteinReference8003
R-HSA-8964043,reactome:ProteinReference8002
R-HSA-8964043,reactome:ProteinReference2617
R-HSA-8964043,reactome:ProteinReference9616
R-HSA-1474151,reactome:SmallMoleculeReference387
R-HSA-1474151,reactome:ProteinReference632
R-HSA-1474151,reactome:SmallMoleculeReference262
R-HSA-1474151,reactome:ProteinReference3115
R-HSA-1474151,reactome:SmallMoleculeReference63
R-HSA-1474151,reactome:SmallMoleculeReference12
R-HSA-1474151,reactome:SmallMoleculeReference47
R-HSA-1474151,reactome:ProteinReference1840
R-HSA-1474151,reactome:SmallMoleculeReference1
R-HSA-1474151,reactome:ProteinReference1294
R-HSA-1474151,reactome:SmallMoleculeReference2146
R-HSA-1474151,reactome:SmallMoleculeReference2641
R-HSA-1474151,reactome:SmallMoleculeReference11
R-HSA-1474151,reactome:SmallMoleculeReference35
R-HSA-1474151,reactome:SmallMoleculeReference37
R-HSA-1474151,reactome:ProteinReference10539
R-HSA-1474151,reactome:SmallMoleculeReference2639
R-HSA-1474151,reactome:SmallMoleculeReference2590
R-HSA-1474151,reactome:SmallMoleculeReference2640
R-HSA-1474151,reactome:ProteinReference10577
R-HSA-1474151,reactome:SmallMoleculeReference294
R-HSA-1474151,reactome:SmallMoleculeReference2568
R-HSA-1474151,reactome:SmallMoleculeReference298
R-HSA-1474151,reactome:SmallMoleculeReference32
R-HSA-1474151,reactome:SmallMoleculeReference253
R-HSA-1474151,reactome:SmallMoleculeReference4
R-HSA-1474151,reactome:ProteinReference10266
R-HSA-1474151,reactome:SmallMoleculeReference5
R-HSA-1474151,reactome:ProteinReference4945
R-HSA-1474151,reactome:SmallMoleculeReference381
R-HSA-1474151,
R-HSA-1474151,reactome:SmallMoleculeReference8
R-HSA-1474151,reactome:SmallMoleculeReference14
R-HSA-1474151,reactome:SmallMoleculeReference1503
R-HSA-1474151,reactome:ProteinReference10576
R-HSA-1474151,reactome:ProteinReference10575
R-HSA-1474151,reactome:SmallMoleculeReference395
R-HSA-434313,reactome:SmallMoleculeReference4
R-HSA-434313,reactome:SmallMoleculeReference433
R-HSA-434313,reactome:SmallMoleculeReference29
R-HSA-434313,reactome:SmallMoleculeReference19
R-HSA-434313,reactome:SmallMoleculeReference21
R-HSA-434313,reactome:SmallMoleculeReference2118
R-HSA-434313,
R-HSA-434313,reactome:ProteinReference2631
R-HSA-174411,reactome:SmallMoleculeReference2965
R-HSA-174411,reactome:ProteinReference2775
R-HSA-174411,reactome:ProteinReference2774
R-HSA-174411,reactome:ProteinReference2773
R-HSA-174411,reactome:ProteinReference2772
R-HSA-174411,reactome:ProteinReference2770
R-HSA-174411,reactome:ProteinReference2771
R-HSA-174411,reactome:ProteinReference3859
R-HSA-174411,reactome:SmallMoleculeReference8
R-HSA-174411,reactome:SmallMoleculeReference4
R-HSA-174411,reactome:SmallMoleculeReference13
R-HSA-174411,reactome:SmallMoleculeReference5
R-HSA-174411,reactome:ProteinReference10926
R-HSA-174411,reactome:ProteinReference10927
R-HSA-174411,reactome:ProteinReference10925
