R-HSA-6806667	abstraction:IsAChildOf	R-HSA-6806664		
R-HSA-6806667	abstraction:IsAChildOf	R-HSA-975634		
R-HSA-1296059	abstraction:IsAChildOf	R-HSA-1296041		
R-HSA-5654738	abstraction:IsAChildOf	R-HSA-190241		
R-HSA-5654738	abstraction:IsAChildOf	R-HSA-5654696		
R-HSA-5654738	abstraction:IsAChildOf	R-HSA-6803529		
R-HSA-5654738	abstraction:IsAChildOf	R-HSA-5654727		
R-HSA-9694516	abstraction:IsAChildOf	R-HSA-9705683		
R-HSA-9694516	abstraction:IsAChildOf	R-HSA-9772573		
R-HSA-9694516	abstraction:IsAChildOf	R-HSA-9772572		
R-HSA-9662001	abstraction:IsAChildOf	R-HSA-9672393		
R-HSA-9662001	abstraction:IsAChildOf	R-HSA-9672391		
R-HSA-9662001	abstraction:IsAChildOf	R-HSA-9672396		
R-HSA-9662001	abstraction:IsAChildOf	R-HSA-9672387		
R-HSA-9662001	abstraction:IsAChildOf	R-HSA-9672395		
R-HSA-9662001	abstraction:IsAChildOf	R-HSA-9672397		
R-HSA-9662001	abstraction:IsAChildOf	R-HSA-9674519		
R-HSA-8963691	abstraction:IsAChildOf	R-HSA-8964208		
R-HSA-8963691	abstraction:IsAChildOf	R-HSA-8963684		
R-HSA-162587	abstraction:IsAChildOf	R-HSA-162599		
R-HSA-162587	abstraction:IsAChildOf	R-HSA-162594		
R-HSA-1839124	abstraction:IsAChildOf	R-HSA-1839122		
R-HSA-1839124	abstraction:IsAChildOf	R-HSA-1839117		
R-HSA-1839124	abstraction:IsAChildOf	R-HSA-1839120		
R-HSA-1839124	abstraction:IsAChildOf	R-HSA-8853336		
R-HSA-1660662	abstraction:IsAChildOf	R-HSA-9840309		
R-HSA-1660662	abstraction:IsAChildOf	R-HSA-9840310		
R-HSA-9700206	abstraction:IsAChildOf	R-HSA-9700649		
R-HSA-9700206	abstraction:IsAChildOf	R-HSA-9725370		
R-HSA-9700206	abstraction:IsAChildOf	R-HSA-9700645		
R-HSA-5654687	abstraction:IsAChildOf	R-HSA-5654219		
R-HSA-5654687	abstraction:IsAChildOf	R-HSA-5654688		
R-HSA-5654687	abstraction:IsAChildOf	R-HSA-5654693		
R-HSA-5654687	abstraction:IsAChildOf	R-HSA-5654689		
R-HSA-9659379	abstraction:IsAChildOf	R-HSA-9662361		
R-HSA-9659379	abstraction:IsAChildOf	R-HSA-9662360		
R-HSA-162906	abstraction:IsAChildOf	R-HSA-162909		
