pathwayID,interaction,nextPathwayID,tag
R-HSA-111931,abstraction:NextStepPathway,R-HSA-9022692,orignal
R-HSA-111931,abstraction:NextStepPathway,R-HSA-111932,orignal
R-HSA-111931,abstraction:NextStepPathway,R-HSA-9616222,orignal
R-HSA-111931,abstraction:NextStepPathway,R-HSA-163358,orignal
R-HSA-111931,abstraction:NextStepPathway,R-HSA-9031628,orignal
R-HSA-111931,abstraction:NextStepPathway,R-HSA-9660821,orignal
R-HSA-9840309,abstraction:NextStepPathway,R-HSA-9845576,orignal
R-HSA-69206,abstraction:NextStepPathway,R-HSA-69239,orignal
R-HSA-8866910,abstraction:NextStepPathway,R-HSA-209822,orignal
R-HSA-1660514,abstraction:NextStepPathway,R-HSA-1660510,orignal
R-HSA-379716,abstraction:NextStepPathway,R-HSA-72695,orignal
R-HSA-5223345,abstraction:NextStepPathway,R-HSA-70921,orignal
R-HSA-1679131,abstraction:NextStepPathway,R-HSA-168138,orignal
R-HSA-9954716,abstraction:NextStepPathway,R-HSA-9954709,orignal
R-HSA-611105,abstraction:NextStepPathway,R-HSA-5628897,orignal
R-HSA-611105,abstraction:NextStepPathway,R-HSA-9707564,orignal
R-HSA-611105,abstraction:NextStepPathway,R-HSA-166187,orignal
R-HSA-611105,abstraction:NextStepPathway,R-HSA-167826,orignal
R-HSA-611105,abstraction:NextStepPathway,R-HSA-163210,orignal
R-HSA-159231,abstraction:NextStepPathway,R-HSA-72662,orignal
R-HSA-1650814,abstraction:NextStepPathway,R-HSA-8948216,orignal
R-HSA-1650814,abstraction:NextStepPathway,R-HSA-2022090,orignal
R-HSA-190861,abstraction:NextStepPathway,R-HSA-190827,orignal
R-HSA-190861,abstraction:NextStepPathway,R-HSA-190704,orignal
R-HSA-6784531,abstraction:NextStepPathway,R-HSA-6782315,orignal
R-HSA-180897,abstraction:NextStepPathway,R-HSA-111457,orignal
R-HSA-180897,abstraction:NextStepPathway,R-HSA-5620971,orignal
R-HSA-196807,abstraction:NextStepPathway,R-HSA-561048,orignal
R-HSA-190375,abstraction:NextStepPathway,R-HSA-5654221,orignal
R-HSA-190375,abstraction:NextStepPathway,R-HSA-5654699,orignal
R-HSA-190375,abstraction:NextStepPathway,R-HSA-5654700,orignal
R-HSA-72689,abstraction:NextStepPathway,R-HSA-72706,orignal
R-HSA-72689,abstraction:NextStepPathway,R-HSA-72737,orignal
R-HSA-4420097,abstraction:NextStepPathway,R-HSA-389357,orignal
R-HSA-4420097,abstraction:NextStepPathway,R-HSA-5668599,orignal
R-HSA-4420097,abstraction:NextStepPathway,R-HSA-1257604,orignal
R-HSA-4420097,abstraction:NextStepPathway,R-HSA-2029482,orignal
R-HSA-4420097,abstraction:NextStepPathway,R-HSA-114604,orignal
R-HSA-4420097,abstraction:NextStepPathway,R-HSA-5663213,orignal
R-HSA-4420097,abstraction:NextStepPathway,R-HSA-3928663,orignal
R-HSA-4420097,abstraction:NextStepPathway,R-HSA-171007,orignal
R-HSA-4420097,abstraction:NextStepPathway,R-HSA-5218921,orignal
R-HSA-4420097,abstraction:NextStepPathway,R-HSA-5218920,orignal
R-HSA-4420097,abstraction:NextStepPathway,R-HSA-9664422,orignal
R-HSA-70350,abstraction:NextStepPathway,R-HSA-70171,orignal
R-HSA-202433,abstraction:NextStepPathway,R-HSA-2871809,orignal
R-HSA-202433,abstraction:NextStepPathway,R-HSA-112043,orignal
R-HSA-202433,abstraction:NextStepPathway,R-HSA-9664323,orignal
R-HSA-202433,abstraction:NextStepPathway,R-HSA-2029482,orignal
R-HSA-202433,abstraction:NextStepPathway,R-HSA-2029485,orignal
R-HSA-202433,abstraction:NextStepPathway,R-HSA-5663213,orignal
R-HSA-202433,abstraction:NextStepPathway,R-HSA-5218921,orignal
R-HSA-202433,abstraction:NextStepPathway,R-HSA-422356,orignal
R-HSA-202433,abstraction:NextStepPathway,R-HSA-5607763,orignal
R-HSA-202433,abstraction:NextStepPathway,R-HSA-1489509,orignal
R-HSA-202433,abstraction:NextStepPathway,R-HSA-4086398,orignal
R-HSA-202433,abstraction:NextStepPathway,R-HSA-983695,orignal
R-HSA-202433,abstraction:NextStepPathway,R-HSA-9664422,orignal
R-HSA-202433,abstraction:NextStepPathway,R-HSA-202424,orignal
R-HSA-389542,abstraction:NextStepPathway,R-HSA-389599,orignal
R-HSA-171319,abstraction:NextStepPathway,R-HSA-174417,orignal
R-HSA-171319,abstraction:NextStepPathway,R-HSA-174430,orignal
R-HSA-5625900,abstraction:NextStepPathway,R-HSA-5627117,orignal
R-HSA-5625900,abstraction:NextStepPathway,R-HSA-5625740,orignal
R-HSA-5625900,abstraction:NextStepPathway,R-HSA-5627123,orignal
R-HSA-5684264,abstraction:NextStepPathway,R-HSA-110056,orignal
R-HSA-68877,abstraction:NextStepPathway,R-HSA-9648025,orignal
R-HSA-68877,abstraction:NextStepPathway,R-HSA-2500257,orignal
R-HSA-162599,abstraction:NextStepPathway,R-HSA-177243,orignal
R-HSA-199920,abstraction:NextStepPathway,R-HSA-111931,orignal
R-HSA-199920,abstraction:NextStepPathway,R-HSA-9634638,orignal
