previousPathwayAncestorID,interaction,nextPathwayAncestorID,tag
R-HSA-6804756,abstraction:NextStepPathway,R-HSA-6796648,inferred
R-HSA-5633007,abstraction:NextStepPathway,R-HSA-6796648,inferred
R-HSA-6804756,abstraction:NextStepPathway,R-HSA-6804114,inferred
R-HSA-6804756,abstraction:NextStepPathway,R-HSA-6791312,inferred
R-HSA-5633007,abstraction:NextStepPathway,R-HSA-6804114,inferred
R-HSA-5633007,abstraction:NextStepPathway,R-HSA-6791312,inferred
R-HSA-6804756,abstraction:NextStepPathway,R-HSA-6803205,inferred
R-HSA-5633007,abstraction:NextStepPathway,R-HSA-6803205,inferred
R-HSA-6804756,abstraction:NextStepPathway,R-HSA-6811555,inferred
R-HSA-6804756,abstraction:NextStepPathway,R-HSA-6804758,inferred
R-HSA-6804756,abstraction:NextStepPathway,R-HSA-6804757,inferred
R-HSA-6804756,abstraction:NextStepPathway,R-HSA-6806003,inferred
R-HSA-6804756,abstraction:NextStepPathway,R-HSA-6803207,inferred
R-HSA-5633007,abstraction:NextStepPathway,R-HSA-6803207,inferred
R-HSA-6804756,abstraction:NextStepPathway,R-HSA-6804116,inferred
R-HSA-5633007,abstraction:NextStepPathway,R-HSA-6804116,inferred
R-HSA-6804756,abstraction:NextStepPathway,R-HSA-6804115,inferred
R-HSA-5633007,abstraction:NextStepPathway,R-HSA-6804115,inferred
R-HSA-6804756,abstraction:NextStepPathway,R-HSA-5620971,inferred
R-HSA-6804756,abstraction:NextStepPathway,R-HSA-5218859,inferred
R-HSA-6804756,abstraction:NextStepPathway,R-HSA-5357801,inferred
R-HSA-5633007,abstraction:NextStepPathway,R-HSA-5620971,inferred
R-HSA-5633007,abstraction:NextStepPathway,R-HSA-5218859,inferred
R-HSA-5633007,abstraction:NextStepPathway,R-HSA-5357801,inferred
R-HSA-3700989,abstraction:NextStepPathway,R-HSA-5620971,inferred
R-HSA-3700989,abstraction:NextStepPathway,R-HSA-5218859,inferred
R-HSA-3700989,abstraction:NextStepPathway,R-HSA-5357801,inferred
R-HSA-212436,abstraction:NextStepPathway,R-HSA-5620971,inferred
R-HSA-212436,abstraction:NextStepPathway,R-HSA-5218859,inferred
R-HSA-212436,abstraction:NextStepPathway,R-HSA-5357801,inferred
R-HSA-73857,abstraction:NextStepPathway,R-HSA-5620971,inferred
R-HSA-73857,abstraction:NextStepPathway,R-HSA-5218859,inferred
R-HSA-73857,abstraction:NextStepPathway,R-HSA-5357801,inferred
R-HSA-74160,abstraction:NextStepPathway,R-HSA-5620971,inferred
R-HSA-74160,abstraction:NextStepPathway,R-HSA-5218859,inferred
R-HSA-74160,abstraction:NextStepPathway,R-HSA-5357801,inferred
R-HSA-6804756,abstraction:NextStepPathway,R-HSA-6803211,inferred
R-HSA-5633007,abstraction:NextStepPathway,R-HSA-6803211,inferred
R-HSA-6804756,abstraction:NextStepPathway,R-HSA-6804754,inferred
R-HSA-6804756,abstraction:NextStepPathway,R-HSA-9758274,inferred
R-HSA-6804756,abstraction:NextStepPathway,R-HSA-445989,inferred
R-HSA-6804756,abstraction:NextStepPathway,R-HSA-166058,inferred
R-HSA-6804756,abstraction:NextStepPathway,R-HSA-166016,inferred
R-HSA-6804756,abstraction:NextStepPathway,R-HSA-168898,inferred
R-HSA-6804756,abstraction:NextStepPathway,R-HSA-168249,inferred
R-HSA-6804756,abstraction:NextStepPathway,R-HSA-168256,inferred
R-HSA-6804756,abstraction:NextStepPathway,R-HSA-168179,inferred
R-HSA-6804756,abstraction:NextStepPathway,R-HSA-181438,inferred
R-HSA-6804756,abstraction:NextStepPathway,R-HSA-168188,inferred
R-HSA-6804756,abstraction:NextStepPathway,R-HSA-975138,inferred
R-HSA-6804756,abstraction:NextStepPathway,R-HSA-975155,inferred
R-HSA-6804756,abstraction:NextStepPathway,R-HSA-168138,inferred
R-HSA-6804756,abstraction:NextStepPathway,R-HSA-168181,inferred
R-HSA-6804756,abstraction:NextStepPathway,R-HSA-975871,inferred
R-HSA-6804756,abstraction:NextStepPathway,R-HSA-168142,inferred
R-HSA-6804756,abstraction:NextStepPathway,R-HSA-168176,inferred
R-HSA-6804756,abstraction:NextStepPathway,R-HSA-937061,inferred
R-HSA-6804756,abstraction:NextStepPathway,R-HSA-166166,inferred
R-HSA-6804756,abstraction:NextStepPathway,R-HSA-9020702,inferred
R-HSA-6804756,abstraction:NextStepPathway,R-HSA-446652,inferred
R-HSA-6804756,abstraction:NextStepPathway,R-HSA-449147,inferred
R-HSA-6804756,abstraction:NextStepPathway,R-HSA-1280215,inferred
R-HSA-6804756,abstraction:NextStepPathway,R-HSA-168164,inferred
R-HSA-5633007,abstraction:NextStepPathway,R-HSA-9758274,inferred
R-HSA-5633007,abstraction:NextStepPathway,R-HSA-445989,inferred
R-HSA-5633007,abstraction:NextStepPathway,R-HSA-166058,inferred
R-HSA-5633007,abstraction:NextStepPathway,R-HSA-166016,inferred
R-HSA-5633007,abstraction:NextStepPathway,R-HSA-168898,inferred
R-HSA-5633007,abstraction:NextStepPathway,R-HSA-168249,inferred
R-HSA-5633007,abstraction:NextStepPathway,R-HSA-168256,inferred
R-HSA-5633007,abstraction:NextStepPathway,R-HSA-168179,inferred
R-HSA-5633007,abstraction:NextStepPathway,R-HSA-181438,inferred
R-HSA-5633007,abstraction:NextStepPathway,R-HSA-168188,inferred
R-HSA-5633007,abstraction:NextStepPathway,R-HSA-975138,inferred
R-HSA-5633007,abstraction:NextStepPathway,R-HSA-975155,inferred
R-HSA-5633007,abstraction:NextStepPathway,R-HSA-168138,inferred
R-HSA-5633007,abstraction:NextStepPathway,R-HSA-168181,inferred
R-HSA-5633007,abstraction:NextStepPathway,R-HSA-975871,inferred
R-HSA-5633007,abstraction:NextStepPathway,R-HSA-168142,inferred
R-HSA-5633007,abstraction:NextStepPathway,R-HSA-168176,inferred
R-HSA-5633007,abstraction:NextStepPathway,R-HSA-937061,inferred
R-HSA-5633007,abstraction:NextStepPathway,R-HSA-166166,inferred
R-HSA-5633007,abstraction:NextStepPathway,R-HSA-9020702,inferred
R-HSA-5633007,abstraction:NextStepPathway,R-HSA-446652,inferred
R-HSA-5633007,abstraction:NextStepPathway,R-HSA-449147,inferred
R-HSA-5633007,abstraction:NextStepPathway,R-HSA-1280215,inferred
R-HSA-5633007,abstraction:NextStepPathway,R-HSA-168164,inferred
R-HSA-3700989,abstraction:NextStepPathway,R-HSA-9758274,inferred
R-HSA-3700989,abstraction:NextStepPathway,R-HSA-445989,inferred
R-HSA-3700989,abstraction:NextStepPathway,R-HSA-166058,inferred
R-HSA-3700989,abstraction:NextStepPathway,R-HSA-166016,inferred
R-HSA-3700989,abstraction:NextStepPathway,R-HSA-168898,inferred
R-HSA-3700989,abstraction:NextStepPathway,R-HSA-168249,inferred
R-HSA-3700989,abstraction:NextStepPathway,R-HSA-168256,inferred
R-HSA-3700989,abstraction:NextStepPathway,R-HSA-168179,inferred
R-HSA-3700989,abstraction:NextStepPathway,R-HSA-181438,inferred
R-HSA-3700989,abstraction:NextStepPathway,R-HSA-168188,inferred
R-HSA-3700989,abstraction:NextStepPathway,R-HSA-975138,inferred
R-HSA-3700989,abstraction:NextStepPathway,R-HSA-975155,inferred
R-HSA-3700989,abstraction:NextStepPathway,R-HSA-168138,inferred
R-HSA-3700989,abstraction:NextStepPathway,R-HSA-168181,inferred
R-HSA-3700989,abstraction:NextStepPathway,R-HSA-975871,inferred
R-HSA-3700989,abstraction:NextStepPathway,R-HSA-168142,inferred
R-HSA-3700989,abstraction:NextStepPathway,R-HSA-168176,inferred
R-HSA-3700989,abstraction:NextStepPathway,R-HSA-937061,inferred
R-HSA-3700989,abstraction:NextStepPathway,R-HSA-166166,inferred
R-HSA-3700989,abstraction:NextStepPathway,R-HSA-9020702,inferred
R-HSA-3700989,abstraction:NextStepPathway,R-HSA-446652,inferred
R-HSA-3700989,abstraction:NextStepPathway,R-HSA-449147,inferred
R-HSA-3700989,abstraction:NextStepPathway,R-HSA-1280215,inferred
R-HSA-3700989,abstraction:NextStepPathway,R-HSA-168164,inferred
R-HSA-212436,abstraction:NextStepPathway,R-HSA-9758274,inferred
R-HSA-212436,abstraction:NextStepPathway,R-HSA-445989,inferred
R-HSA-212436,abstraction:NextStepPathway,R-HSA-166058,inferred
R-HSA-212436,abstraction:NextStepPathway,R-HSA-166016,inferred
R-HSA-212436,abstraction:NextStepPathway,R-HSA-168898,inferred
R-HSA-212436,abstraction:NextStepPathway,R-HSA-168249,inferred
R-HSA-212436,abstraction:NextStepPathway,R-HSA-168256,inferred
R-HSA-212436,abstraction:NextStepPathway,R-HSA-168179,inferred
R-HSA-212436,abstraction:NextStepPathway,R-HSA-181438,inferred
R-HSA-212436,abstraction:NextStepPathway,R-HSA-168188,inferred
R-HSA-212436,abstraction:NextStepPathway,R-HSA-975138,inferred
R-HSA-212436,abstraction:NextStepPathway,R-HSA-975155,inferred
R-HSA-212436,abstraction:NextStepPathway,R-HSA-168138,inferred
R-HSA-212436,abstraction:NextStepPathway,R-HSA-168181,inferred
R-HSA-212436,abstraction:NextStepPathway,R-HSA-975871,inferred
R-HSA-212436,abstraction:NextStepPathway,R-HSA-168142,inferred
R-HSA-212436,abstraction:NextStepPathway,R-HSA-168176,inferred
