pathwayName,nextName,tag
CaM pathway,VEGFA-VEGFR2 Pathway,NextStepParentPathway
"Inactivation, recovery and regulation of the phototransduction cascade",VEGFA-VEGFR2 Pathway,NextStepParentPathway
Downstream TCR signaling,VEGFA-VEGFR2 Pathway,NextStepParentPathway
Wax biosynthesis,ABC-family proteins mediated transport,NextStepParentPathway
Branched-chain amino acid catabolism,Branched-chain amino acid catabolism,NextStepParentPathway
Zinc influx into cells by the SLC39 gene family,Metal ion SLC transporters,NextStepParentPathway
The canonical retinoid cycle in rods (twilight vision),Signaling by Retinoic Acid,NextStepParentPathway
Pre-NOTCH Transcription and Translation,Pre-NOTCH Expression and Processing,NextStepParentPathway
Pre-NOTCH Processing in the Endoplasmic Reticulum,Pre-NOTCH Expression and Processing,NextStepParentPathway
NOTCH3 Intracellular Domain Regulates Transcription,Pre-NOTCH Expression and Processing,NextStepParentPathway
Regulation of RUNX1 Expression and Activity,Pre-NOTCH Expression and Processing,NextStepParentPathway
NOTCH1 Intracellular Domain Regulates Transcription,Pre-NOTCH Expression and Processing,NextStepParentPathway
Peroxisomal protein import,Peroxisomal protein import,NextStepParentPathway
PPARA activates gene expression,Peptide hormone metabolism,NextStepParentPathway
TFAP2 (AP-2) family regulates transcription of growth factors and their receptors,Peptide hormone metabolism,NextStepParentPathway
Zinc influx into cells by the SLC39 gene family,Peptide hormone metabolism,NextStepParentPathway
Regulation of gene expression in beta cells,Peptide hormone metabolism,NextStepParentPathway
Zinc efflux and compartmentalization by the SLC30 family,Peptide hormone metabolism,NextStepParentPathway
SRP-dependent cotranslational protein targeting to membrane,Peptide hormone metabolism,NextStepParentPathway
TNFR2 non-canonical NF-kB pathway,CLEC7A (Dectin-1) signaling,NextStepParentPathway
Generation of second messenger molecules,CLEC7A (Dectin-1) signaling,NextStepParentPathway
Effects of PIP2 hydrolysis,CLEC7A (Dectin-1) signaling,NextStepParentPathway
G beta:gamma signalling through PLC beta,CLEC7A (Dectin-1) signaling,NextStepParentPathway
Acetylcholine regulates insulin secretion,CLEC7A (Dectin-1) signaling,NextStepParentPathway
High laminar flow shear stress activates signaling by PIEZO1 and PECAM1:CDH5:KDR in endothelial cells,CLEC7A (Dectin-1) signaling,NextStepParentPathway
FCERI mediated Ca+2 mobilization,CLEC7A (Dectin-1) signaling,NextStepParentPathway
Fatty Acids bound to GPR40 (FFAR1) regulate insulin secretion,CLEC7A (Dectin-1) signaling,NextStepParentPathway
PLC beta mediated events,CLEC7A (Dectin-1) signaling,NextStepParentPathway
FCGR3A-mediated IL10 synthesis,CLEC7A (Dectin-1) signaling,NextStepParentPathway
IPs transport between ER lumen and cytosol,CLEC7A (Dectin-1) signaling,NextStepParentPathway
Synthesis of IP3 and IP4 in the cytosol,CLEC7A (Dectin-1) signaling,NextStepParentPathway
GPVI-mediated activation cascade,CLEC7A (Dectin-1) signaling,NextStepParentPathway
Role of phospholipids in phagocytosis,CLEC7A (Dectin-1) signaling,NextStepParentPathway
Smooth Muscle Contraction,CLEC7A (Dectin-1) signaling,NextStepParentPathway
Mechanical load activates signaling by PIEZO1 and integrins in osteocytes,CLEC7A (Dectin-1) signaling,NextStepParentPathway
VEGFR2 mediated cell proliferation,CLEC7A (Dectin-1) signaling,NextStepParentPathway
CaM pathway,CLEC7A (Dectin-1) signaling,NextStepParentPathway
Regulation of insulin secretion,CLEC7A (Dectin-1) signaling,NextStepParentPathway
DAG and IP3 signaling,CLEC7A (Dectin-1) signaling,NextStepParentPathway
Ca2+ pathway,CLEC7A (Dectin-1) signaling,NextStepParentPathway
Ion homeostasis,CLEC7A (Dectin-1) signaling,NextStepParentPathway
Antigen activates B Cell Receptor (BCR) leading to generation of second messengers,CLEC7A (Dectin-1) signaling,NextStepParentPathway
"Inactivation, recovery and regulation of the phototransduction cascade",CLEC7A (Dectin-1) signaling,NextStepParentPathway
"Turbulent (oscillatory, disturbed) flow shear stress activates signaling by PIEZO1 and integrins in endothelial cells",CLEC7A (Dectin-1) signaling,NextStepParentPathway
Elevation of cytosolic Ca2+ levels,CLEC7A (Dectin-1) signaling,NextStepParentPathway
Transport of Mature mRNA derived from an Intron-Containing Transcript,Deadenylation-dependent mRNA decay,NextStepParentPathway
Zygotic genome activation (ZGA),Deadenylation-dependent mRNA decay,NextStepParentPathway
Deadenylation of mRNA,Deadenylation-dependent mRNA decay,NextStepParentPathway
"Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S","Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S",NextStepParentPathway
NFG and proNGF binds to p75NTR,"Cell death signalling via NRAGE, NRIF and NADE",NextStepParentPathway
NRIF signals cell death from the nucleus,"Cell death signalling via NRAGE, NRIF and NADE",NextStepParentPathway
TAK1-dependent IKK and NF-kappa-B activation,MyD88:MAL(TIRAP) cascade initiated on plasma membrane,NextStepParentPathway
SARS-CoV-2 activates/modulates innate and adaptive immune responses,MyD88:MAL(TIRAP) cascade initiated on plasma membrane,NextStepParentPathway
NOD1/2 Signaling Pathway,MyD88:MAL(TIRAP) cascade initiated on plasma membrane,NextStepParentPathway
Interleukin-1 signaling,MyD88:MAL(TIRAP) cascade initiated on plasma membrane,NextStepParentPathway
