pathwayName,nextName,tag
Acyl chain remodeling of CL,Glycerophospholipid biosynthesis,NextStepParentPathway
Acyl chain remodeling of DAG and TAG,Glycerophospholipid biosynthesis,NextStepParentPathway
Acyl chain remodelling of PS,Glycerophospholipid biosynthesis,NextStepParentPathway
Hydrolysis of LPE,Glycerophospholipid biosynthesis,NextStepParentPathway
Synthesis of PS,Glycerophospholipid biosynthesis,NextStepParentPathway
Acyl chain remodelling of PE,Glycerophospholipid biosynthesis,NextStepParentPathway
SLC-mediated bile acid transport,Glycerophospholipid biosynthesis,NextStepParentPathway
Neurotransmitter clearance,Glycerophospholipid biosynthesis,NextStepParentPathway
Acetylcholine Neurotransmitter Release Cycle,Glycerophospholipid biosynthesis,NextStepParentPathway
Hydrolysis of LPC,Glycerophospholipid biosynthesis,NextStepParentPathway
ChREBP activates metabolic gene expression,Glycerophospholipid biosynthesis,NextStepParentPathway
Triglyceride biosynthesis,Glycerophospholipid biosynthesis,NextStepParentPathway
Plasmalogen biosynthesis,Glycerophospholipid biosynthesis,NextStepParentPathway
Acyl chain remodelling of PG,Glycerophospholipid biosynthesis,NextStepParentPathway
Synthesis of PIPs at the plasma membrane,Glycerophospholipid biosynthesis,NextStepParentPathway
MET activates RAP1 and RAC1,Signaling by MET,NextStepParentPathway
MET Receptor Activation,Signaling by MET,NextStepParentPathway
MET activates PI3K/AKT signaling,Signaling by MET,NextStepParentPathway
Signaling by Leptin,Signaling by MET,NextStepParentPathway
PTK6 Activates STAT3,Signaling by MET,NextStepParentPathway
NTF3 activates NTRK3 signaling,Signaling by NTRKs,NextStepParentPathway
Expression and Processing of Neurotrophins,Signaling by NTRKs,NextStepParentPathway
TRKA activation by NGF,Signaling by NTRKs,NextStepParentPathway
G beta:gamma signalling through PI3Kgamma,Signaling by NTRKs,NextStepParentPathway
Senescence-Associated Secretory Phenotype (SASP),Signaling by NTRKs,NextStepParentPathway
Gastrin-CREB signalling pathway via PKC and MAPK,Signaling by NTRKs,NextStepParentPathway
NCAM signaling for neurite out-growth,Signaling by NTRKs,NextStepParentPathway
ERK/MAPK targets,Signaling by NTRKs,NextStepParentPathway
PKA-mediated phosphorylation of CREB,Signaling by NTRKs,NextStepParentPathway
CREB phosphorylation,Signaling by NTRKs,NextStepParentPathway
Estrogen-dependent nuclear events downstream of ESR-membrane signaling,Signaling by NTRKs,NextStepParentPathway
FCGR3A-mediated IL10 synthesis,Signaling by NTRKs,NextStepParentPathway
CREB1 phosphorylation through NMDA receptor-mediated activation of RAS signaling,Signaling by NTRKs,NextStepParentPathway
CREB1 phosphorylation through the activation of Adenylate Cyclase,Signaling by NTRKs,NextStepParentPathway
AKT phosphorylates targets in the nucleus,Signaling by NTRKs,NextStepParentPathway
CREB1 phosphorylation through the activation of CaMKII/CaMKK/CaMKIV cascasde,Signaling by NTRKs,NextStepParentPathway
CaMK IV-mediated phosphorylation of CREB,Signaling by NTRKs,NextStepParentPathway
Transcriptional activation of mitochondrial biogenesis,Signaling by NTRKs,NextStepParentPathway
ADORA2B mediated anti-inflammatory cytokines production,Signaling by NTRKs,NextStepParentPathway
RAF/MAP kinase cascade,Signaling by NTRKs,NextStepParentPathway
Signalling to ERK5,Signaling by NTRKs,NextStepParentPathway
Frs2-mediated activation,Signaling by NTRKs,NextStepParentPathway
RAF-independent MAPK1/3 activation,Signaling by NTRKs,NextStepParentPathway
NGF processing,Signaling by NTRKs,NextStepParentPathway
GRB2 events in EGFR signaling,Signaling by NTRKs,NextStepParentPathway
Insulin receptor signalling cascade,Signaling by NTRKs,NextStepParentPathway
VEGFA-VEGFR2 Pathway,Signaling by NTRKs,NextStepParentPathway
Signalling to RAS,Signaling by NTRKs,NextStepParentPathway
MAPK1 (ERK2) activation,Signaling by NTRKs,NextStepParentPathway
MAP2K and MAPK activation,Signaling by NTRKs,NextStepParentPathway
MAPK3 (ERK1) activation,Signaling by NTRKs,NextStepParentPathway
NTF4 activates NTRK2 (TRKB) signaling,Signaling by NTRKs,NextStepParentPathway
BDNF activates NTRK2 (TRKB) signaling,Signaling by NTRKs,NextStepParentPathway
NTF3 activates NTRK2 (TRKB) signaling,Signaling by NTRKs,NextStepParentPathway
Activated NTRK2 signals through FYN,Signaling by NTRKs,NextStepParentPathway
Miscellaneous transport and binding events,Amino acid and derivative metabolism,NextStepParentPathway
Amino acid transport across the plasma membrane,Amino acid and derivative metabolism,NextStepParentPathway
Thyroxine biosynthesis,Amino acid and derivative metabolism,NextStepParentPathway
Norepinephrine Neurotransmitter Release Cycle,Amino acid and derivative metabolism,NextStepParentPathway
Dopamine Neurotransmitter Release Cycle,Amino acid and derivative metabolism,NextStepParentPathway
SLC-mediated bile acid transport,Amino acid and derivative metabolism,NextStepParentPathway
Synthesis of PC,Amino acid and derivative metabolism,NextStepParentPathway
Sulfur amino acid metabolism,Amino acid and derivative metabolism,NextStepParentPathway
Methylation,Amino acid and derivative metabolism,NextStepParentPathway
Proline catabolism,Amino acid and derivative metabolism,NextStepParentPathway
Malate-aspartate shuttle,Amino acid and derivative metabolism,NextStepParentPathway
Gluconeogenesis,Amino acid and derivative metabolism,NextStepParentPathway
Glutamate Neurotransmitter Release Cycle,Amino acid and derivative metabolism,NextStepParentPathway
TP53 Regulates Metabolic Genes,Amino acid and derivative metabolism,NextStepParentPathway
Pyruvate metabolism,Amino acid and derivative metabolism,NextStepParentPathway
Aspartate and asparagine metabolism,Amino acid and derivative metabolism,NextStepParentPathway
Astrocytic Glutamate-Glutamine Uptake And Metabolism,Amino acid and derivative metabolism,NextStepParentPathway
SLC-mediated transport of neurotransmitters,Amino acid and derivative metabolism,NextStepParentPathway
Citric acid cycle (TCA cycle),Amino acid and derivative metabolism,NextStepParentPathway
Urea cycle,Amino acid and derivative metabolism,NextStepParentPathway
Choline catabolism,Amino acid and derivative metabolism,NextStepParentPathway
Metabolism of folate and pterines,Amino acid and derivative metabolism,NextStepParentPathway
Methionine salvage pathway,Amino acid and derivative metabolism,NextStepParentPathway
Cobalamin (Cbl) metabolism,Amino acid and derivative metabolism,NextStepParentPathway
Sulfide oxidation to sulfate,Amino acid and derivative metabolism,NextStepParentPathway
Cysteine formation from homocysteine,Amino acid and derivative metabolism,NextStepParentPathway
Organic anion transport by SLC5/17/25 transporters,Amino acid and derivative metabolism,NextStepParentPathway
Degradation of cysteine and homocysteine,Amino acid and derivative metabolism,NextStepParentPathway
Metabolism of polyamines,Amino acid and derivative metabolism,NextStepParentPathway
Regulation of pyruvate dehydrogenase (PDH) complex,Amino acid and derivative metabolism,NextStepParentPathway
Glyoxylate metabolism and glycine degradation,Amino acid and derivative metabolism,NextStepParentPathway
Glutamate and glutamine metabolism,Amino acid and derivative metabolism,NextStepParentPathway
Collagen degradation,Amino acid and derivative metabolism,NextStepParentPathway
OADH complex synthesizes glutaryl-CoA from 2-OA,Amino acid and derivative metabolism,NextStepParentPathway
Lysine catabolism,Amino acid and derivative metabolism,NextStepParentPathway
"BCKDH synthesizes BCAA-CoA from KIC, KMVA, KIV",Amino acid and derivative metabolism,NextStepParentPathway
Branched-chain amino acid catabolism,Amino acid and derivative metabolism,NextStepParentPathway
Phenylalanine metabolism,Amino acid and derivative metabolism,NextStepParentPathway
Metabolism of ingested H2SeO4 and H2SeO3 into H2Se,Amino acid and derivative metabolism,NextStepParentPathway
Formation of selenosugars for excretion,Amino acid and derivative metabolism,NextStepParentPathway
Metabolism of ingested MeSeO2H into MeSeH,Amino acid and derivative metabolism,NextStepParentPathway
"Metabolism of ingested SeMet, Sec, MeSec into H2Se",Amino acid and derivative metabolism,NextStepParentPathway
Agmatine biosynthesis,Amino acid and derivative metabolism,NextStepParentPathway
Pyrimidine catabolism,Amino acid and derivative metabolism,NextStepParentPathway
Activated NTRK3 signals through PI3K,Negative regulation of the PI3K/AKT network,NextStepParentPathway
PI3K/AKT Signaling,Negative regulation of the PI3K/AKT network,NextStepParentPathway
PI3K/AKT activation,Negative regulation of the PI3K/AKT network,NextStepParentPathway
Downstream signal transduction,Negative regulation of the PI3K/AKT network,NextStepParentPathway
Activated NTRK2 signals through PI3K,Negative regulation of the PI3K/AKT network,NextStepParentPathway
Signaling by SCF-KIT,Negative regulation of the PI3K/AKT network,NextStepParentPathway
PI-3K cascade:FGFR2,Negative regulation of the PI3K/AKT network,NextStepParentPathway
PI-3K cascade:FGFR4,Negative regulation of the PI3K/AKT network,NextStepParentPathway
GAB1 signalosome,Negative regulation of the PI3K/AKT network,NextStepParentPathway
Synthesis of PIPs at the plasma membrane,Negative regulation of the PI3K/AKT network,NextStepParentPathway
ICOS co-stimulation,Negative regulation of the PI3K/AKT network,NextStepParentPathway
PI-3K cascade:FGFR3,Negative regulation of the PI3K/AKT network,NextStepParentPathway
PIPs transport between Golgi and plasma membranes,Negative regulation of the PI3K/AKT network,NextStepParentPathway
PI-3K cascade:FGFR1,Negative regulation of the PI3K/AKT network,NextStepParentPathway
PI3K events in ERBB4 signaling,Negative regulation of the PI3K/AKT network,NextStepParentPathway
PI3K events in ERBB2 signaling,Negative regulation of the PI3K/AKT network,NextStepParentPathway
Downstream TCR signaling,Negative regulation of the PI3K/AKT network,NextStepParentPathway
Dual Incision in GG-NER,Global Genome Nucleotide Excision Repair (GG-NER),NextStepParentPathway
DNA Damage Recognition in GG-NER,Global Genome Nucleotide Excision Repair (GG-NER),NextStepParentPathway
Formation of Incision Complex in GG-NER,Global Genome Nucleotide Excision Repair (GG-NER),NextStepParentPathway
Regulation of lipid metabolism by PPARalpha,Regulation of lipid metabolism by PPARalpha,NextStepParentPathway
Activation of gene expression by SREBF (SREBP),Regulation of lipid metabolism by PPARalpha,NextStepParentPathway
Cytoprotection by HMOX1,Regulation of lipid metabolism by PPARalpha,NextStepParentPathway
"Expression of BMAL (ARNTL), CLOCK, and NPAS2",Regulation of lipid metabolism by PPARalpha,NextStepParentPathway
"BMAL1:CLOCK,NPAS2 activates circadian expression",Regulation of lipid metabolism by PPARalpha,NextStepParentPathway
"RORA,B,C and NR1D1 (REV-ERBA) regulate gene expression",Regulation of lipid metabolism by PPARalpha,NextStepParentPathway
Transcriptional regulation of white adipocyte differentiation,Regulation of lipid metabolism by PPARalpha,NextStepParentPathway
Transcriptional activation of mitochondrial biogenesis,Regulation of lipid metabolism by PPARalpha,NextStepParentPathway
Recycling of bile acids and salts,Regulation of lipid metabolism by PPARalpha,NextStepParentPathway
Formation of the beta-catenin:TCF transactivating complex,Formation of paraxial mesoderm,NextStepParentPathway
Formation of paraxial mesoderm,Formation of paraxial mesoderm,NextStepParentPathway
"SUMO is transferred from E1 to E2 (UBE2I, UBC9)",Nuclear Envelope (NE) Reassembly,NextStepParentPathway
SUMOylation of nuclear envelope proteins,Nuclear Envelope (NE) Reassembly,NextStepParentPathway
G2/M DNA damage checkpoint,p53-Dependent G1 DNA Damage Response,NextStepParentPathway
Stabilization of p53,p53-Dependent G1 DNA Damage Response,NextStepParentPathway
Regulation of TP53 Activity through Phosphorylation,p53-Dependent G1 DNA Damage Response,NextStepParentPathway
TP53 Regulates Transcription of Genes Involved in G1 Cell Cycle Arrest,p53-Dependent G1 DNA Damage Response,NextStepParentPathway
Regulation of TP53 Activity through Association with Co-factors,p53-Dependent G1 DNA Damage Response,NextStepParentPathway
FOXO-mediated transcription of cell cycle genes,p53-Dependent G1 DNA Damage Response,NextStepParentPathway
Oncogene Induced Senescence,p53-Dependent G1 DNA Damage Response,NextStepParentPathway
Oxidative Stress Induced Senescence,p53-Dependent G1 DNA Damage Response,NextStepParentPathway
Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks,p53-Dependent G1 DNA Damage Response,NextStepParentPathway
Autodegradation of the E3 ubiquitin ligase COP1,p53-Dependent G1 DNA Damage Response,NextStepParentPathway
DNA Damage/Telomere Stress Induced Senescence,p53-Dependent G1 DNA Damage Response,NextStepParentPathway
Regulation of TP53 Expression,p53-Dependent G1 DNA Damage Response,NextStepParentPathway
Sensing of DNA Double Strand Breaks,p53-Dependent G1 DNA Damage Response,NextStepParentPathway
Regulation of TP53 Degradation,p53-Dependent G1 DNA Damage Response,NextStepParentPathway
Interleukin-27 signaling,Interleukin-6 family signaling,NextStepParentPathway
Interleukin-6 signaling,Interleukin-6 family signaling,NextStepParentPathway
Effects of PIP2 hydrolysis,Platelet Aggregation (Plug Formation),NextStepParentPathway
Rap1 signalling,Platelet Aggregation (Plug Formation),NextStepParentPathway
Integrin signaling,Platelet Aggregation (Plug Formation),NextStepParentPathway
GRB2 events in EGFR signaling,"Interleukin-3, Interleukin-5 and GM-CSF signaling",NextStepParentPathway
Interleukin-2 signaling,"Interleukin-3, Interleukin-5 and GM-CSF signaling",NextStepParentPathway
"Interleukin-3, Interleukin-5 and GM-CSF signaling","Interleukin-3, Interleukin-5 and GM-CSF signaling",NextStepParentPathway
Insulin receptor signalling cascade,"Interleukin-3, Interleukin-5 and GM-CSF signaling",NextStepParentPathway
EGFR downregulation,"Interleukin-3, Interleukin-5 and GM-CSF signaling",NextStepParentPathway
Metabolism of Angiotensinogen to Angiotensins,Class A/1 (Rhodopsin-like receptors),NextStepParentPathway
Activation of C3 and C5,Class A/1 (Rhodopsin-like receptors),NextStepParentPathway
"Synthesis, secretion, and deacylation of Ghrelin",Class A/1 (Rhodopsin-like receptors),NextStepParentPathway
Biosynthesis of Lipoxins (LX),Class A/1 (Rhodopsin-like receptors),NextStepParentPathway
Sphingolipid de novo biosynthesis,Class A/1 (Rhodopsin-like receptors),NextStepParentPathway
Potential therapeutics for SARS,Class A/1 (Rhodopsin-like receptors),NextStepParentPathway
Serotonin Neurotransmitter Release Cycle,Class A/1 (Rhodopsin-like receptors),NextStepParentPathway
Clearance of seratonin,Clearance of seratonin,NextStepParentPathway
DAG1 core M2 glycosylations,DAG1 glycosylations,NextStepParentPathway
Transport and metabolism of PAPS,DAG1 glycosylations,NextStepParentPathway
DAG1 core M1 glycosylations,DAG1 glycosylations,NextStepParentPathway
Transport of nucleotide sugars,DAG1 glycosylations,NextStepParentPathway
DAG1 core M3 glycosylations,DAG1 glycosylations,NextStepParentPathway
Matriglycan biosynthesis on DAG1,DAG1 glycosylations,NextStepParentPathway
Synthesis of dolichyl-phosphate mannose,DAG1 glycosylations,NextStepParentPathway
Formation of the dystrophin-glycoprotein complex (DGC),DAG1 glycosylations,NextStepParentPathway
RNA Polymerase II Transcription Termination,Metabolism of RNA,NextStepParentPathway
mRNA 3'-end processing,Metabolism of RNA,NextStepParentPathway
Major pathway of rRNA processing in the nucleolus and cytosol,Metabolism of RNA,NextStepParentPathway
tRNA processing in the mitochondrion,Metabolism of RNA,NextStepParentPathway
rRNA processing in the mitochondrion,Metabolism of RNA,NextStepParentPathway
Transport of Mature mRNA derived from an Intron-Containing Transcript,Metabolism of RNA,NextStepParentPathway
mRNA Capping,Metabolism of RNA,NextStepParentPathway
RNA Pol II CTD phosphorylation and interaction with CE,Metabolism of RNA,NextStepParentPathway
Formation of the Editosome,Metabolism of RNA,NextStepParentPathway
pre-mRNA splicing,Metabolism of RNA,NextStepParentPathway
mRNA Editing: A to I Conversion,Metabolism of RNA,NextStepParentPathway
Formation of editosomes by ADAR proteins,Metabolism of RNA,NextStepParentPathway
SARS-CoV-2 modulates host translation machinery,Metabolism of RNA,NextStepParentPathway
RNA Polymerase I Transcription Termination,Metabolism of RNA,NextStepParentPathway
Mitochondrial transcription termination,Metabolism of RNA,NextStepParentPathway
Organic cation transport,Metabolism of RNA,NextStepParentPathway
RNA Polymerase III Transcription Termination,Metabolism of RNA,NextStepParentPathway
RNA Polymerase III Abortive And Retractive Initiation,Metabolism of RNA,NextStepParentPathway
tRNA processing in the nucleus,Metabolism of RNA,NextStepParentPathway
Zygotic genome activation (ZGA),Metabolism of RNA,NextStepParentPathway
Deadenylation of mRNA,Metabolism of RNA,NextStepParentPathway
mRNA Splicing,Metabolism of RNA,NextStepParentPathway
Processing of Intronless Pre-mRNAs,Metabolism of RNA,NextStepParentPathway
SLBP Dependent Processing of Replication-Dependent Histone Pre-mRNAs,Metabolism of RNA,NextStepParentPathway
SLBP independent Processing of Histone Pre-mRNAs,Metabolism of RNA,NextStepParentPathway
Processing of Capped Intron-Containing Pre-mRNA,Metabolism of RNA,NextStepParentPathway
mRNA Editing: C to U Conversion,Metabolism of RNA,NextStepParentPathway
Sterols are 12-hydroxylated by CYP8B1,Synthesis of bile acids and bile salts,NextStepParentPathway
Transport of organic anions,Synthesis of bile acids and bile salts,NextStepParentPathway
Synthesis of bile acids and bile salts via 24-hydroxycholesterol,Synthesis of bile acids and bile salts,NextStepParentPathway
Endogenous sterols,Synthesis of bile acids and bile salts,NextStepParentPathway
Synthesis of bile acids and bile salts via 27-hydroxycholesterol,Synthesis of bile acids and bile salts,NextStepParentPathway
Recycling of bile acids and salts,Synthesis of bile acids and bile salts,NextStepParentPathway
TRAF3-dependent IRF activation pathway,DDX58/IFIH1-mediated induction of interferon-alpha/beta,NextStepParentPathway
DDX58/IFIH1-mediated induction of interferon-alpha/beta,DDX58/IFIH1-mediated induction of interferon-alpha/beta,NextStepParentPathway
TAK1-dependent IKK and NF-kappa-B activation,DDX58/IFIH1-mediated induction of interferon-alpha/beta,NextStepParentPathway
SARS-CoV-2 activates/modulates innate and adaptive immune responses,DDX58/IFIH1-mediated induction of interferon-alpha/beta,NextStepParentPathway
NOD1/2 Signaling Pathway,DDX58/IFIH1-mediated induction of interferon-alpha/beta,NextStepParentPathway
TRAF6 mediated IRF7 activation,DDX58/IFIH1-mediated induction of interferon-alpha/beta,NextStepParentPathway
RIP-mediated NFkB activation via ZBP1,DDX58/IFIH1-mediated induction of interferon-alpha/beta,NextStepParentPathway
Interleukin-1 signaling,DDX58/IFIH1-mediated induction of interferon-alpha/beta,NextStepParentPathway
TP53 Regulates Transcription of Caspase Activators and Caspases,DDX58/IFIH1-mediated induction of interferon-alpha/beta,NextStepParentPathway
Evasion by RSV of host interferon responses,DDX58/IFIH1-mediated induction of interferon-alpha/beta,NextStepParentPathway
TRAF6 mediated IRF7 activation in TLR7/8 or 9 signaling,DDX58/IFIH1-mediated induction of interferon-alpha/beta,NextStepParentPathway
G1/S-Specific Transcription,DNA Replication Pre-Initiation,NextStepParentPathway
Transcription of E2F targets under negative control by DREAM complex,DNA Replication Pre-Initiation,NextStepParentPathway
Class C/3 (Metabotropic glutamate/pheromone receptors),Potassium Channels,NextStepParentPathway
Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits,Potassium Channels,NextStepParentPathway
GABA B receptor activation,Potassium Channels,NextStepParentPathway
Regulation of CDH11 mRNA translation by microRNAs,Adherens junctions interactions,NextStepParentPathway
Regulation of CDH11 gene transcription,Adherens junctions interactions,NextStepParentPathway
Transcriptional and post-translational regulation of MITF-M expression and activity,Adherens junctions interactions,NextStepParentPathway
Epithelial-Mesenchymal Transition (EMT) during gastrulation,Adherens junctions interactions,NextStepParentPathway
Positive Regulation of CDH1 Gene Transcription,Adherens junctions interactions,NextStepParentPathway
Negative Regulation of CDH1 Gene Transcription,Adherens junctions interactions,NextStepParentPathway
Regulation of CDH1 posttranslational processing and trafficking to plasma membrane,Adherens junctions interactions,NextStepParentPathway
Regulation of CDH1 Function,Adherens junctions interactions,NextStepParentPathway
Vpr-mediated induction of apoptosis by mitochondrial outer membrane permeabilization,Apoptotic factor-mediated response,NextStepParentPathway
"Activation, translocation and oligomerization of BAX",Apoptotic factor-mediated response,NextStepParentPathway
Activation and oligomerization of BAK protein,Apoptotic factor-mediated response,NextStepParentPathway
Activation of BID and translocation to mitochondria,Apoptotic factor-mediated response,NextStepParentPathway
Release of apoptotic factors from the mitochondria,Apoptotic factor-mediated response,NextStepParentPathway
Activation of caspases through apoptosome-mediated cleavage,Apoptotic factor-mediated response,NextStepParentPathway
SMAC (DIABLO) binds to IAPs,Apoptotic factor-mediated response,NextStepParentPathway
Pyroptosis,Apoptotic factor-mediated response,NextStepParentPathway
TP53 Regulates Transcription of Caspase Activators and Caspases,Apoptotic factor-mediated response,NextStepParentPathway
Formation of apoptosome,Apoptotic factor-mediated response,NextStepParentPathway
CASP5-mediated substrate cleavage,Interleukin-1 family signaling,NextStepParentPathway
CASP4-mediated substrate cleavage,Interleukin-1 family signaling,NextStepParentPathway
The NLRP3 inflammasome,Interleukin-1 family signaling,NextStepParentPathway
The AIM2 inflammasome,Interleukin-1 family signaling,NextStepParentPathway
Purinergic signaling in leishmaniasis infection,Interleukin-1 family signaling,NextStepParentPathway
The IPAF inflammasome,Interleukin-1 family signaling,NextStepParentPathway
TRAF6-mediated induction of TAK1 complex within TLR4 complex,Interleukin-1 family signaling,NextStepParentPathway
Interleukin-1 processing,Interleukin-1 family signaling,NextStepParentPathway
"TICAM1,TRAF6-dependent induction of TAK1 complex",Interleukin-1 family signaling,NextStepParentPathway
Pyroptosis,Interleukin-1 family signaling,NextStepParentPathway
CLEC7A (Dectin-1) signaling,Interleukin-1 family signaling,NextStepParentPathway
TAK1-dependent IKK and NF-kappa-B activation,Interleukin-1 family signaling,NextStepParentPathway
IRAK2 mediated activation of TAK1 complex,Interleukin-1 family signaling,NextStepParentPathway
NOD1/2 Signaling Pathway,Interleukin-1 family signaling,NextStepParentPathway
ALPK1 signaling pathway,Interleukin-1 family signaling,NextStepParentPathway
FCERI mediated NF-kB activation,Interleukin-1 family signaling,NextStepParentPathway
Downstream TCR signaling,Interleukin-1 family signaling,NextStepParentPathway
SARS-CoV-2 activates/modulates innate and adaptive immune responses,Interleukin-1 family signaling,NextStepParentPathway
Interleukin-1 signaling,Interleukin-1 family signaling,NextStepParentPathway
TRAF6 mediated NF-kB activation,Interleukin-1 family signaling,NextStepParentPathway
RIP-mediated NFkB activation via ZBP1,Interleukin-1 family signaling,NextStepParentPathway
G2/M DNA damage checkpoint,Interleukin-1 family signaling,NextStepParentPathway
Stabilization of p53,Interleukin-1 family signaling,NextStepParentPathway
Ligand-dependent caspase activation,Interleukin-1 family signaling,NextStepParentPathway
Regulation of TP53 Activity through Phosphorylation,Interleukin-1 family signaling,NextStepParentPathway
TLR3-mediated TICAM1-dependent programmed cell death,Interleukin-1 family signaling,NextStepParentPathway
TRIF-mediated programmed cell death,Interleukin-1 family signaling,NextStepParentPathway
TGF-beta receptor signaling activates SMADs,Elastic fibre formation,NextStepParentPathway
Phosphate bond hydrolysis by NUDT proteins,Nucleotide salvage,NextStepParentPathway
Purine ribonucleoside monophosphate biosynthesis,Nucleotide salvage,NextStepParentPathway
Cyclin E associated events during G1/S transition,p53-Dependent G1/S DNA damage checkpoint,NextStepParentPathway
TP53 Regulates Transcription of Genes Involved in G1 Cell Cycle Arrest,p53-Dependent G1/S DNA damage checkpoint,NextStepParentPathway
Transcriptional  activation of  cell cycle inhibitor p21,p53-Dependent G1/S DNA damage checkpoint,NextStepParentPathway
Cyclin A:Cdk2-associated events at S phase entry,p53-Dependent G1/S DNA damage checkpoint,NextStepParentPathway
DNA Damage/Telomere Stress Induced Senescence,p53-Dependent G1/S DNA damage checkpoint,NextStepParentPathway
FOXO-mediated transcription of cell cycle genes,p53-Dependent G1/S DNA damage checkpoint,NextStepParentPathway
G2/M DNA damage checkpoint,p53-Dependent G1/S DNA damage checkpoint,NextStepParentPathway
Stabilization of p53,p53-Dependent G1/S DNA damage checkpoint,NextStepParentPathway
Regulation of TP53 Activity through Phosphorylation,p53-Dependent G1/S DNA damage checkpoint,NextStepParentPathway
Regulation of TP53 Activity through Association with Co-factors,p53-Dependent G1/S DNA damage checkpoint,NextStepParentPathway
Oncogene Induced Senescence,p53-Dependent G1/S DNA damage checkpoint,NextStepParentPathway
Oxidative Stress Induced Senescence,p53-Dependent G1/S DNA damage checkpoint,NextStepParentPathway
Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks,p53-Dependent G1/S DNA damage checkpoint,NextStepParentPathway
Autodegradation of the E3 ubiquitin ligase COP1,p53-Dependent G1/S DNA damage checkpoint,NextStepParentPathway
Regulation of TP53 Expression,p53-Dependent G1/S DNA damage checkpoint,NextStepParentPathway
Sensing of DNA Double Strand Breaks,p53-Dependent G1/S DNA damage checkpoint,NextStepParentPathway
Regulation of TP53 Degradation,p53-Dependent G1/S DNA damage checkpoint,NextStepParentPathway
Beta oxidation of decanoyl-CoA to octanoyl-CoA-CoA,mitochondrial fatty acid beta-oxidation of saturated fatty acids,NextStepParentPathway
Lysine catabolism,mitochondrial fatty acid beta-oxidation of saturated fatty acids,NextStepParentPathway
Beta oxidation of hexanoyl-CoA to butanoyl-CoA,mitochondrial fatty acid beta-oxidation of saturated fatty acids,NextStepParentPathway
mitochondrial fatty acid beta-oxidation of unsaturated fatty acids,mitochondrial fatty acid beta-oxidation of saturated fatty acids,NextStepParentPathway
Beta oxidation of lauroyl-CoA to decanoyl-CoA-CoA,mitochondrial fatty acid beta-oxidation of saturated fatty acids,NextStepParentPathway
Beta oxidation of myristoyl-CoA to lauroyl-CoA,mitochondrial fatty acid beta-oxidation of saturated fatty acids,NextStepParentPathway
Beta oxidation of octanoyl-CoA to hexanoyl-CoA,mitochondrial fatty acid beta-oxidation of saturated fatty acids,NextStepParentPathway
Beta oxidation of palmitoyl-CoA to myristoyl-CoA,mitochondrial fatty acid beta-oxidation of saturated fatty acids,NextStepParentPathway
Class C/3 (Metabotropic glutamate/pheromone receptors),Neuronal System,NextStepParentPathway
Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits,Neuronal System,NextStepParentPathway
GABA B receptor activation,Neuronal System,NextStepParentPathway
Neurotransmitter uptake and metabolism In glial cells,Neuronal System,NextStepParentPathway
Amino acid transport across the plasma membrane,Neuronal System,NextStepParentPathway
GABA synthesis,Neuronal System,NextStepParentPathway
Reuptake of GABA,Neuronal System,NextStepParentPathway
SLC-mediated transport of neurotransmitters,Neuronal System,NextStepParentPathway
Presynaptic depolarization and calcium channel opening,Neuronal System,NextStepParentPathway
Glutamate and glutamine metabolism,Neuronal System,NextStepParentPathway
TP53 Regulates Metabolic Genes,Neuronal System,NextStepParentPathway
Branched-chain amino acid catabolism,Neuronal System,NextStepParentPathway
Astrocytic Glutamate-Glutamine Uptake And Metabolism,Neuronal System,NextStepParentPathway
Dopamine Neurotransmitter Release Cycle,Neuronal System,NextStepParentPathway
Catecholamine biosynthesis,Neuronal System,NextStepParentPathway
Serotonin Neurotransmitter Release Cycle,Neuronal System,NextStepParentPathway
Norepinephrine Neurotransmitter Release Cycle,Neuronal System,NextStepParentPathway
SLC-mediated bile acid transport,Neuronal System,NextStepParentPathway
Synthesis of PC,Neuronal System,NextStepParentPathway
Glutamate Neurotransmitter Release Cycle,Neuronal System,NextStepParentPathway
Synthesis of PA,Neuronal System,NextStepParentPathway
Hydrolysis of LPC,Neuronal System,NextStepParentPathway
Serotonin and melatonin biosynthesis,Neuronal System,NextStepParentPathway
Neurotransmitter release cycle,Neuronal System,NextStepParentPathway
Clearance of seratonin,Neuronal System,NextStepParentPathway
"GABA synthesis, release, reuptake and degradation",Neuronal System,NextStepParentPathway
G alpha (i) signalling events,Neuronal System,NextStepParentPathway
ADP signalling through P2Y purinoceptor 12,Neuronal System,NextStepParentPathway
Activation of G protein gated Potassium channels,Neuronal System,NextStepParentPathway
Trafficking of AMPA receptors,Neuronal System,NextStepParentPathway
Activation of RAC1 downstream of NMDARs,Neuronal System,NextStepParentPathway
High laminar flow shear stress activates signaling by PIEZO1 and PECAM1:CDH5:KDR in endothelial cells,Neuronal System,NextStepParentPathway
FCERI mediated Ca+2 mobilization,Neuronal System,NextStepParentPathway
"Unblocking of NMDA receptors, glutamate binding and activation",Neuronal System,NextStepParentPathway
FCGR3A-mediated IL10 synthesis,Neuronal System,NextStepParentPathway
CaMK IV-mediated phosphorylation of CREB,Neuronal System,NextStepParentPathway
