source,interaction,target,weight
reactome:Pathway1911,abstraction:IsAChildOf,reactome:Pathway1893,
reactome:Pathway2001,abstraction:IsAChildOf,reactome:Pathway1997,
reactome:Pathway2370,abstraction:IsAChildOf,reactome:Pathway2369,
reactome:Pathway1037,abstraction:IsAChildOf,reactome:Pathway1036,
reactome:Pathway976,abstraction:IsAChildOf,reactome:Pathway966,
reactome:Pathway1286,abstraction:IsAChildOf,reactome:Pathway1285,
reactome:Pathway1789,abstraction:IsAChildOf,reactome:Pathway1784,
reactome:Pathway447,abstraction:IsAChildOf,reactome:Pathway446,
reactome:Pathway1066,abstraction:IsAChildOf,reactome:Pathway1063,
reactome:Pathway349,abstraction:IsAChildOf,reactome:Pathway340,
reactome:Pathway206,abstraction:IsAChildOf,reactome:Pathway195,
reactome:Pathway2514,abstraction:IsAChildOf,reactome:Pathway2513,
reactome:Pathway1679,abstraction:IsAChildOf,reactome:Pathway1667,
reactome:Pathway700,abstraction:IsAChildOf,reactome:Pathway695,
reactome:Pathway1738,abstraction:IsAChildOf,reactome:Pathway1733,
reactome:Pathway2686,abstraction:IsAChildOf,reactome:Pathway2685,
reactome:Pathway748,abstraction:IsAChildOf,reactome:Pathway747,
reactome:Pathway85,abstraction:IsAChildOf,reactome:Pathway31,
reactome:Pathway290,abstraction:IsAChildOf,reactome:Pathway289,
reactome:Pathway1465,abstraction:IsAChildOf,reactome:Pathway1464,
reactome:Pathway1512,abstraction:IsAChildOf,reactome:Pathway1490,
reactome:Pathway439,abstraction:IsAChildOf,reactome:Pathway435,
reactome:Pathway1505,abstraction:IsAChildOf,reactome:Pathway1490,
reactome:Pathway2542,abstraction:IsAChildOf,reactome:Pathway2540,
reactome:Pathway1849,abstraction:IsAChildOf,reactome:Pathway1848,
reactome:Pathway1649,abstraction:IsAChildOf,reactome:Pathway1645,
reactome:Pathway2468,abstraction:IsAChildOf,reactome:Pathway2467,
reactome:Pathway415,abstraction:IsAChildOf,reactome:Pathway289,
reactome:Pathway1413,abstraction:IsAChildOf,reactome:Pathway1412,
reactome:Pathway722,abstraction:IsAChildOf,reactome:Pathway721,
reactome:Pathway379,abstraction:IsAChildOf,reactome:Pathway373,
reactome:Pathway28,abstraction:IsAChildOf,reactome:Pathway2,
reactome:Pathway2750,abstraction:IsAChildOf,reactome:Pathway2749,
reactome:Pathway2643,abstraction:IsAChildOf,reactome:Pathway2639,
reactome:Pathway2470,abstraction:IsAChildOf,reactome:Pathway2466,
reactome:Pathway2101,abstraction:IsAChildOf,reactome:Pathway2092,
reactome:Pathway856,abstraction:IsAChildOf,reactome:Pathway855,
reactome:Pathway1657,abstraction:IsAChildOf,reactome:Pathway1645,
reactome:Pathway1865,abstraction:IsAChildOf,reactome:Pathway1859,
reactome:Pathway1152,abstraction:IsAChildOf,reactome:Pathway1150,
reactome:Pathway1754,abstraction:IsAChildOf,reactome:Pathway1751,
reactome:Pathway260,abstraction:IsAChildOf,reactome:Pathway256,
reactome:Pathway2102,abstraction:IsAChildOf,reactome:Pathway2092,
reactome:Pathway1718,abstraction:IsAChildOf,reactome:Pathway1717,
reactome:Pathway1764,abstraction:IsAChildOf,reactome:Pathway1756,
reactome:Pathway861,abstraction:IsAChildOf,reactome:Pathway856,
reactome:Pathway1993,abstraction:IsAChildOf,reactome:Pathway1992,
reactome:Pathway127,abstraction:IsAChildOf,reactome:Pathway126,
reactome:Pathway747,abstraction:IsAChildOf,reactome:Pathway742,
reactome:Pathway808,abstraction:IsAChildOf,reactome:Pathway784,
reactome:Pathway1487,abstraction:IsAChildOf,reactome:Pathway1482,
reactome:Pathway1956,abstraction:IsAChildOf,reactome:Pathway1942,
reactome:Pathway258,abstraction:IsAChildOf,reactome:Pathway256,
reactome:Pathway566,abstraction:IsAChildOf,reactome:Pathway565,
reactome:Pathway2055,abstraction:IsAChildOf,reactome:Pathway2022,
reactome:Pathway1057,abstraction:IsAChildOf,reactome:Pathway1056,
reactome:Pathway1344,abstraction:IsAChildOf,reactome:Pathway1342,
reactome:Pathway772,abstraction:IsAChildOf,reactome:Pathway768,
reactome:Pathway1083,abstraction:IsAChildOf,reactome:Pathway1082,
reactome:Pathway659,abstraction:IsAChildOf,reactome:Pathway534,
reactome:Pathway2376,abstraction:IsAChildOf,reactome:Pathway2375,
reactome:Pathway1305,abstraction:IsAChildOf,reactome:Pathway1304,
reactome:Pathway1776,abstraction:IsAChildOf,reactome:Pathway1803,
reactome:Pathway1688,abstraction:IsAChildOf,reactome:Pathway1685,
reactome:Pathway345,abstraction:IsAChildOf,reactome:Pathway342,
reactome:Pathway1527,abstraction:IsAChildOf,reactome:Pathway1526,
reactome:Pathway1510,abstraction:IsAChildOf,reactome:Pathway1508,
reactome:Pathway2704,abstraction:IsAChildOf,reactome:Pathway2703,
reactome:Pathway1575,abstraction:IsAChildOf,reactome:Pathway1572,
reactome:Pathway2625,abstraction:IsAChildOf,reactome:Pathway2623,
reactome:Pathway2476,abstraction:IsAChildOf,reactome:Pathway2475,
reactome:Pathway9,abstraction:IsAChildOf,reactome:Pathway8,
reactome:Pathway1334,abstraction:IsAChildOf,reactome:Pathway1333,
reactome:Pathway76,abstraction:IsAChildOf,reactome:Pathway74,
reactome:Pathway1861,abstraction:IsAChildOf,reactome:Pathway1860,
reactome:Pathway1810,abstraction:IsAChildOf,reactome:Pathway1809,
reactome:Pathway453,abstraction:IsAChildOf,reactome:Pathway445,
reactome:Pathway799,abstraction:IsAChildOf,reactome:Pathway784,
reactome:Pathway495,abstraction:IsAChildOf,reactome:Pathway1318,
reactome:Pathway2593,abstraction:IsAChildOf,reactome:Pathway2588,
reactome:Pathway734,abstraction:IsAChildOf,reactome:Pathway733,
reactome:Pathway2155,abstraction:IsAChildOf,reactome:Pathway2149,
reactome:Pathway2602,abstraction:IsAChildOf,reactome:Pathway2599,
reactome:Pathway1890,abstraction:IsAChildOf,reactome:Pathway1888,
reactome:Pathway26,abstraction:IsAChildOf,reactome:Pathway25,
reactome:Pathway983,abstraction:IsAChildOf,reactome:Pathway966,
reactome:Pathway369,abstraction:IsAChildOf,reactome:Pathway368,
reactome:Pathway406,abstraction:IsAChildOf,reactome:Pathway402,
reactome:Pathway227,abstraction:IsAChildOf,reactome:Pathway226,
reactome:Pathway317,abstraction:IsAChildOf,reactome:Pathway289,
reactome:Pathway687,abstraction:IsAChildOf,reactome:Pathway676,
reactome:Pathway1523,abstraction:IsAChildOf,reactome:Pathway1522,
reactome:Pathway372,abstraction:IsAChildOf,reactome:Pathway369,
reactome:Pathway253,abstraction:IsAChildOf,reactome:Pathway236,
reactome:Pathway116,abstraction:IsAChildOf,reactome:Pathway115,
reactome:Pathway1630,abstraction:IsAChildOf,reactome:Pathway1318,
reactome:Pathway1127,abstraction:IsAChildOf,reactome:Pathway1125,
reactome:Pathway2465,abstraction:IsAChildOf,reactome:Pathway2464,
reactome:Pathway1894,abstraction:IsAChildOf,reactome:Pathway1893,
reactome:Pathway1422,abstraction:IsAChildOf,reactome:Pathway1319,
reactome:Pathway2096,abstraction:IsAChildOf,reactome:Pathway2093,
reactome:Pathway1204,abstraction:IsAChildOf,reactome:Pathway1185,
reactome:Pathway1008,abstraction:IsAChildOf,reactome:Pathway994,
reactome:Pathway630,abstraction:IsAChildOf,reactome:Pathway629,
reactome:Pathway613,abstraction:IsAChildOf,reactome:Pathway611,
reactome:Pathway1570,abstraction:IsAChildOf,reactome:Pathway1569,
reactome:Pathway1776,abstraction:IsAChildOf,reactome:Pathway1896,
reactome:Pathway1546,abstraction:IsAChildOf,reactome:Pathway1542,
reactome:Pathway530,abstraction:IsAChildOf,reactome:Pathway529,
reactome:Pathway947,abstraction:IsAChildOf,reactome:Pathway942,
reactome:Pathway2493,abstraction:IsAChildOf,reactome:Pathway2491,
reactome:Pathway2632,abstraction:IsAChildOf,reactome:Pathway2630,
reactome:Pathway1986,abstraction:IsAChildOf,reactome:Pathway1985,
reactome:Pathway969,abstraction:IsAChildOf,reactome:Pathway966,
reactome:Pathway837,abstraction:IsAChildOf,reactome:Pathway784,
reactome:Pathway2047,abstraction:IsAChildOf,reactome:Pathway2046,
reactome:Pathway780,abstraction:IsAChildOf,reactome:Pathway768,
reactome:Pathway2668,abstraction:IsAChildOf,reactome:Pathway2667,
reactome:Pathway1730,abstraction:IsAChildOf,reactome:Pathway1728,
reactome:Pathway1733,abstraction:IsAChildOf,reactome:Pathway1727,
reactome:Pathway1177,abstraction:IsAChildOf,reactome:Pathway1172,
reactome:Pathway146,abstraction:IsAChildOf,reactome:Pathway145,
reactome:Pathway843,abstraction:IsAChildOf,reactome:Pathway784,
reactome:Pathway2405,abstraction:IsAChildOf,reactome:Pathway2396,
reactome:Pathway8,abstraction:IsAChildOf,reactome:Pathway7,
reactome:Pathway650,abstraction:IsAChildOf,reactome:Pathway645,
reactome:Pathway1888,abstraction:IsAChildOf,reactome:Pathway1882,
reactome:Pathway1873,abstraction:IsAChildOf,reactome:Pathway1769,
reactome:Pathway1827,abstraction:IsAChildOf,reactome:Pathway1825,
reactome:Pathway2408,abstraction:IsAChildOf,reactome:Pathway2374,
reactome:Pathway1551,abstraction:IsAChildOf,reactome:Pathway1548,
reactome:Pathway352,abstraction:IsAChildOf,reactome:Pathway340,
reactome:Pathway676,abstraction:IsAChildOf,reactome:Pathway670,
reactome:Pathway520,abstraction:IsAChildOf,reactome:Pathway518,
reactome:Pathway1119,abstraction:IsAChildOf,reactome:Pathway1117,
reactome:Pathway1170,abstraction:IsAChildOf,reactome:Pathway1169,
